Employee ID,Doctor Name,Specialization,Hospital Name,Locality,Area / City & State,Phone Number,Email Address,Native Language,Languages Known
EMP1014,Dr. Ravi Das,Gynecology,KIMS-Ushalakshmi Centre,Begumpet,"Hyderabad, Telangana",-6138436155,ravi.das14@hospitalmail.in,English,"Bengali, Hindi, Kannada, Telugu"
EMP1015,Dr. Sunita Iyer,ENT,Yashoda Hospital,Somajiguda,"Hyderabad, Telangana",-7095480744,sunita.iyer15@hospitalmail.in,Malayalam,"English, Kannada, Bengali"
EMP1016,Dr. Sunita Patel,Neurology,Aster Medcity,Cheranalloor,"Kochi, Kerala",-6458962027,sunita.patel16@hospitalmail.in,Malayalam,"Kannada, Tamil, Malayalam"
EMP1017,Dr. Ritu Naik,Cardiology,Aster Medcity,Cheranalloor,"Kochi, Kerala",-7469903965,ritu.naik17@hospitalmail.in,Tamil,"Tamil, Telugu, Bengali"
EMP1018,Dr. Neha Patel,Psychiatry,Apollo Hospitals,Jubilee Hills,"Hyderabad, Telangana",-9074848746,neha.patel18@hospitalmail.in,Kannada,"Marathi, English"
EMP1019,Dr. Suresh Chatterjee,Pediatrics,Apollo Hospitals,Jubilee Hills,"Hyderabad, Telangana",-7144239638,suresh.chatterjee19@hospitalmail.in,Marathi,"Kannada, Telugu, Marathi"
EMP1020,Dr. Pooja Mehta,General Medicine,Aster Medcity,Cheranalloor,"Kochi, Kerala",-9738610247,pooja.mehta20@hospitalmail.in,Telugu,"Tamil, Marathi, Bengali"
EMP1021,Dr. Prakash Reddy,Dermatology,Manipal Hospital,Old Airport Road,"Bengaluru, Karnataka",-7920498920,prakash.reddy21@hospitalmail.in,English,"Tamil, Hindi, English"
EMP1022,Dr. Prakash Reddy,General Medicine,AIIMS Delhi,Ansari Nagar,New Delhi,-9097514851,prakash.reddy22@hospitalmail.in,Telugu,"Tamil, Malayalam, Marathi"
EMP1023,Dr. Sneha Iyer,Cardiology,Fortis Hospital,Bannerghatta Road,"Bengaluru, Karnataka",-6908671114,sneha.iyer23@hospitalmail.in,Tamil,"Marathi, Kannada, Hindi, Telugu"
EMP1024,Dr. Vikram Chatterjee,Neurology,AMRI Hospital,Salt Lake,"Kolkata, West Bengal",-8539848132,vikram.chatterjee24@hospitalmail.in,Hindi,"English, Telugu, Tamil"
EMP1025,Dr. Kiran Reddy,Orthopedics,Tata Memorial Hospital,Parel,"Mumbai, Maharashtra",-6015725256,kiran.reddy25@hospitalmail.in,Bengali,"Malayalam, Bengali"
EMP1026,Dr. Kiran Rao,Pediatrics,Tata Memorial Hospital,Parel,"Mumbai, Maharashtra",-8410216805,kiran.rao26@hospitalmail.in,Kannada,"Tamil, Malayalam, Marathi, Kannada"
EMP1027,Dr. Prakash Patel,Orthopedics,Yashoda Hospital,Somajiguda,"Hyderabad, Telangana",-9996482498,prakash.patel27@hospitalmail.in,Hindi,"English, Malayalam, Tamil, Kannada"
EMP1028,Dr. Rahul Patel,Neurology,Tata Memorial Hospital,Parel,"Mumbai, Maharashtra",-7478176231,rahul.patel28@hospitalmail.in,Kannada,"Hindi, Telugu, Kannada"
EMP1029,Dr. Sanjay Iyer,ENT,Apollo Hospitals,Jubilee Hills,"Hyderabad, Telangana",-7808995224,sanjay.iyer29@hospitalmail.in,Telugu,"Malayalam, Marathi"
EMP1030,Dr. Kiran Mehta,Neurology,CMC Vellore,Katpadi Road,"Vellore, Tamil Nadu",-8778997896,kiran.mehta30@hospitalmail.in,Hindi,"Marathi, Tamil"
EMP1031,Dr. Ritu Das,Pediatrics,AIIMS Delhi,Ansari Nagar,New Delhi,-6537025487,ritu.das31@hospitalmail.in,Kannada,"Marathi, Bengali"
EMP1032,Dr. Meena Rao,Psychiatry,AMRI Hospital,Salt Lake,"Kolkata, West Bengal",-7702429597,meena.rao32@hospitalmail.in,English,"Malayalam, Tamil, Bengali, Kannada"
EMP1033,Dr. Arjun Naik,Orthopedics,KIMS-Ushalakshmi Centre,Begumpet,"Hyderabad, Telangana",-9991014751,arjun.naik33@hospitalmail.in,Kannada,"Marathi, Kannada, Bengali, Telugu"
EMP1034,Dr. Anil Reddy,Cardiology,Aster Medcity,Cheranalloor,"Kochi, Kerala",-8260097833,anil.reddy34@hospitalmail.in,English,"Malayalam, English"
EMP1035,Dr. Amit Reddy,Gynecology,Fortis Hospital,Bannerghatta Road,"Bengaluru, Karnataka",-7389075849,amit.reddy35@hospitalmail.in,Tamil,"English, Hindi, Malayalam"
EMP1036,Dr. Vikram Sharma,Dermatology,Fortis Hospital,Bannerghatta Road,"Bengaluru, Karnataka",-7947891081,vikram.sharma36@hospitalmail.in,Tamil,"Telugu, Kannada"
EMP1037,Dr. Anita Gupta,Psychiatry,Fortis Hospital,Bannerghatta Road,"Bengaluru, Karnataka",-7283202650,anita.gupta37@hospitalmail.in,English,"English, Tamil, Telugu, Hindi"
EMP1038,Dr. Arjun Chatterjee,Gynecology,AIIMS Delhi,Ansari Nagar,New Delhi,-8505130544,arjun.chatterjee38@hospitalmail.in,English,"Telugu, English, Malayalam"
EMP1039,Dr. Divya Das,Dermatology,Aster Medcity,Cheranalloor,"Kochi, Kerala",-7800774489,divya.das39@hospitalmail.in,Bengali,"English, Malayalam"
EMP1040,Dr. Suresh Patel,Ophthalmology,Apollo Hospitals,Jubilee Hills,"Hyderabad, Telangana",-9280126206,suresh.patel40@hospitalmail.in,Malayalam,"Tamil, Bengali, Telugu"
EMP1041,Dr. Neha Chatterjee,Pediatrics,Manipal Hospital,Old Airport Road,"Bengaluru, Karnataka",-6664193664,neha.chatterjee41@hospitalmail.in,Tamil,"Bengali, Hindi"
EMP1042,Dr. Amit Reddy,Psychiatry,Yashoda Hospital,Somajiguda,"Hyderabad, Telangana",-6168899696,amit.reddy42@hospitalmail.in,Kannada,"Tamil, Malayalam"
EMP1043,Dr. Ravi Iyer,Ophthalmology,Manipal Hospital,Old Airport Road,"Bengaluru, Karnataka",-9037571816,ravi.iyer43@hospitalmail.in,Bengali,"Kannada, Hindi, Bengali, Marathi"
EMP1044,Dr. Arjun Das,Pediatrics,KIMS-Ushalakshmi Centre,Begumpet,"Hyderabad, Telangana",-9083542945,arjun.das44@hospitalmail.in,English,"Telugu, Marathi, Kannada"
EMP1045,Dr. Vikram Reddy,Psychiatry,Aster Medcity,Cheranalloor,"Kochi, Kerala",-8978555392,vikram.reddy45@hospitalmail.in,Telugu,"Telugu, English"
EMP1046,Dr. Kiran Iyer,General Medicine,Manipal Hospital,Old Airport Road,"Bengaluru, Karnataka",-8980276978,kiran.iyer46@hospitalmail.in,English,"Tamil, Kannada, English"
EMP1047,Dr. Priya Naik,Dermatology,CMC Vellore,Katpadi Road,"Vellore, Tamil Nadu",-9560079531,priya.naik47@hospitalmail.in,Telugu,"Malayalam, Marathi, Telugu, Kannada"
EMP1048,Dr. Prakash Iyer,ENT,AIIMS Delhi,Ansari Nagar,New Delhi,-6869226887,prakash.iyer48@hospitalmail.in,Kannada,"Bengali, Kannada, Malayalam, Telugu"
EMP1049,Dr. Kiran Rao,Cardiology,Tata Memorial Hospital,Parel,"Mumbai, Maharashtra",-9557925699,kiran.rao49@hospitalmail.in,Marathi,"Telugu, Bengali"
EMP1050,Dr. Sunita Patel,Neurology,AMRI Hospital,Salt Lake,"Kolkata, West Bengal",-9029763547,sunita.patel50@hospitalmail.in,Marathi,"Malayalam, Telugu, English, Hindi"
EMP1051,Dr. Arjun Reddy,Ophthalmology,Manipal Hospital,Old Airport Road,"Bengaluru, Karnataka",-6966898348,arjun.reddy51@hospitalmail.in,Malayalam,"Tamil, Hindi, Telugu"
EMP1052,Dr. Sanjay Chatterjee,Dermatology,Fortis Hospital,Bannerghatta Road,"Bengaluru, Karnataka",-7305805697,sanjay.chatterjee52@hospitalmail.in,Telugu,"Marathi, Bengali, English, Tamil"
EMP1053,Dr. Arjun Iyer,Gynecology,KIMS-Ushalakshmi Centre,Begumpet,"Hyderabad, Telangana",-6088239542,arjun.iyer53@hospitalmail.in,Hindi,"Telugu, Hindi, English, Bengali"
EMP1054,Dr. Kavita Sharma,Cardiology,Aster Medcity,Cheranalloor,"Kochi, Kerala",-8317113841,kavita.sharma54@hospitalmail.in,Kannada,"English, Tamil"
EMP1055,Dr. Sneha Das,Ophthalmology,AMRI Hospital,Salt Lake,"Kolkata, West Bengal",-6812757307,sneha.das55@hospitalmail.in,Tamil,"Malayalam, English, Tamil"
EMP1056,Dr. Amit Das,Psychiatry,Yashoda Hospital,Somajiguda,"Hyderabad, Telangana",-7149676130,amit.das56@hospitalmail.in,Marathi,"Tamil, Marathi"
EMP1057,Dr. Arjun Gupta,Psychiatry,Apollo Hospitals,Jubilee Hills,"Hyderabad, Telangana",-8311177054,arjun.gupta57@hospitalmail.in,Hindi,"Malayalam, Tamil, Kannada"
EMP1058,Dr. Rahul Rao,Gynecology,Apollo Hospitals,Jubilee Hills,"Hyderabad, Telangana",-6217772224,rahul.rao58@hospitalmail.in,Hindi,"Telugu, Tamil"
EMP1059,Dr. Kiran Sharma,Dermatology,Yashoda Hospital,Somajiguda,"Hyderabad, Telangana",-6998689303,kiran.sharma59@hospitalmail.in,Telugu,"Marathi, Bengali, Telugu, Kannada"
EMP1060,Dr. Pooja Rao,General Medicine,Fortis Hospital,Bannerghatta Road,"Bengaluru, Karnataka",-6107878027,pooja.rao60@hospitalmail.in,Bengali,"Hindi, Telugu, Kannada"
EMP1061,Dr. Sneha Gupta,Ophthalmology,Aster Medcity,Cheranalloor,"Kochi, Kerala",-7842907857,sneha.gupta61@hospitalmail.in,Marathi,"Kannada, English, Malayalam, Bengali"
EMP1062,Dr. Kavita Iyer,Cardiology,Aster Medcity,Cheranalloor,"Kochi, Kerala",-9536857125,kavita.iyer62@hospitalmail.in,English,"Kannada, Hindi, English"
EMP1063,Dr. Divya Gupta,Ophthalmology,Apollo Hospitals,Jubilee Hills,"Hyderabad, Telangana",-8308548543,divya.gupta63@hospitalmail.in,Kannada,"Marathi, Bengali"
EMP1064,Dr. Prakash Naik,Orthopedics,Tata Memorial Hospital,Parel,"Mumbai, Maharashtra",-8686099237,prakash.naik64@hospitalmail.in,Tamil,"Telugu, Hindi"
EMP1065,Dr. Ravi Reddy,Psychiatry,Fortis Hospital,Bannerghatta Road,"Bengaluru, Karnataka",-7856685803,ravi.reddy65@hospitalmail.in,Kannada,"Bengali, English"
EMP1066,Dr. Anita Gupta,Cardiology,Manipal Hospital,Old Airport Road,"Bengaluru, Karnataka",-7360345115,anita.gupta66@hospitalmail.in,Tamil,"Malayalam, Bengali, Hindi"
EMP1067,Dr. Anita Iyer,General Medicine,CMC Vellore,Katpadi Road,"Vellore, Tamil Nadu",-6311295365,anita.iyer67@hospitalmail.in,Bengali,"Kannada, Hindi, Malayalam, Marathi"
EMP1068,Dr. Anil Mehta,Psychiatry,AIIMS Delhi,Ansari Nagar,New Delhi,-9016929911,anil.mehta68@hospitalmail.in,Marathi,"Malayalam, Telugu"
EMP1069,Dr. Amit Reddy,Dermatology,Fortis Hospital,Bannerghatta Road,"Bengaluru, Karnataka",-8268069072,amit.reddy69@hospitalmail.in,Bengali,"Tamil, Marathi"
EMP1070,Dr. Prakash Rao,Orthopedics,Aster Medcity,Cheranalloor,"Kochi, Kerala",-7501860575,prakash.rao70@hospitalmail.in,Tamil,"Marathi, Telugu, Malayalam"
EMP1071,Dr. Kiran Gupta,General Medicine,Apollo Hospitals,Jubilee Hills,"Hyderabad, Telangana",-9649369251,kiran.gupta71@hospitalmail.in,Kannada,"Hindi, Tamil"
EMP1072,Dr. Suresh Patel,Pediatrics,AIIMS Delhi,Ansari Nagar,New Delhi,-6975406275,suresh.patel72@hospitalmail.in,Bengali,"Telugu, Hindi, Bengali, Malayalam"
EMP1073,Dr. Amit Sharma,Neurology,KIMS-Ushalakshmi Centre,Begumpet,"Hyderabad, Telangana",-6256105694,amit.sharma73@hospitalmail.in,Kannada,"Bengali, Marathi, Tamil"
EMP1074,Dr. Pooja Reddy,Orthopedics,KIMS-Ushalakshmi Centre,Begumpet,"Hyderabad, Telangana",-8507841107,pooja.reddy74@hospitalmail.in,Telugu,"Bengali, Kannada, Telugu, Marathi"
EMP1075,Dr. Prakash Iyer,Dermatology,Apollo Hospitals,Jubilee Hills,"Hyderabad, Telangana",-9658900853,prakash.iyer75@hospitalmail.in,Tamil,"Telugu, Bengali, English"
EMP1076,Dr. Sanjay Das,ENT,AMRI Hospital,Salt Lake,"Kolkata, West Bengal",-6435661062,sanjay.das76@hospitalmail.in,Bengali,"Malayalam, Tamil, Telugu"
EMP1077,Dr. Meena Das,Ophthalmology,Fortis Hospital,Bannerghatta Road,"Bengaluru, Karnataka",-9817249504,meena.das77@hospitalmail.in,Kannada,"English, Marathi, Telugu"
EMP1078,Dr. Ravi Rao,Neurology,Apollo Hospitals,Jubilee Hills,"Hyderabad, Telangana",-9486177808,ravi.rao78@hospitalmail.in,Malayalam,"Bengali, English, Telugu"
EMP1079,Dr. Anil Reddy,Gynecology,Manipal Hospital,Old Airport Road,"Bengaluru, Karnataka",-7752276756,anil.reddy79@hospitalmail.in,Marathi,"Malayalam, Marathi, Telugu, Kannada"
EMP1080,Dr. Prakash Das,Orthopedics,AMRI Hospital,Salt Lake,"Kolkata, West Bengal",-9354607848,prakash.das80@hospitalmail.in,Marathi,"Hindi, Kannada, Tamil"
EMP1081,Dr. Priya Rao,Orthopedics,Aster Medcity,Cheranalloor,"Kochi, Kerala",-7793771211,priya.rao81@hospitalmail.in,Hindi,"Telugu, Hindi, Marathi"
EMP1082,Dr. Neha Reddy,Gynecology,CMC Vellore,Katpadi Road,"Vellore, Tamil Nadu",-9767188334,neha.reddy82@hospitalmail.in,Bengali,"Kannada, Malayalam, Marathi, Hindi"
EMP1083,Dr. Anita Rao,Orthopedics,AIIMS Delhi,Ansari Nagar,New Delhi,-6206614253,anita.rao83@hospitalmail.in,Marathi,"Tamil, Marathi, Malayalam, Kannada"
EMP1084,Dr. Vikram Gupta,Cardiology,Manipal Hospital,Old Airport Road,"Bengaluru, Karnataka",-7255911332,vikram.gupta84@hospitalmail.in,English,"Hindi, Kannada, English, Bengali"
EMP1085,Dr. Sneha Rao,Cardiology,CMC Vellore,Katpadi Road,"Vellore, Tamil Nadu",-6280543398,sneha.rao85@hospitalmail.in,Marathi,"Hindi, Malayalam, Kannada"
EMP1086,Dr. Sneha Reddy,General Medicine,Manipal Hospital,Old Airport Road,"Bengaluru, Karnataka",-7478609504,sneha.reddy86@hospitalmail.in,Marathi,"Telugu, Tamil, Hindi, Malayalam"
EMP1087,Dr. Kavita Sharma,Cardiology,Tata Memorial Hospital,Parel,"Mumbai, Maharashtra",-8697963106,kavita.sharma87@hospitalmail.in,English,"Hindi, Marathi"
EMP1088,Dr. Kavita Rao,Orthopedics,CMC Vellore,Katpadi Road,"Vellore, Tamil Nadu",-8804628491,kavita.rao88@hospitalmail.in,Hindi,"Bengali, Malayalam"
EMP1089,Dr. Rahul Reddy,Dermatology,Apollo Hospitals,Jubilee Hills,"Hyderabad, Telangana",-9588595012,rahul.reddy89@hospitalmail.in,Malayalam,"Telugu, Hindi, Marathi"
EMP1090,Dr. Rahul Mehta,Ophthalmology,AMRI Hospital,Salt Lake,"Kolkata, West Bengal",-9488269540,rahul.mehta90@hospitalmail.in,Marathi,"Kannada, English, Telugu, Bengali"
EMP1091,Dr. Divya Reddy,Psychiatry,Yashoda Hospital,Somajiguda,"Hyderabad, Telangana",-6555410234,divya.reddy91@hospitalmail.in,Tamil,"Telugu, Marathi"
EMP1092,Dr. Arjun Gupta,Dermatology,AIIMS Delhi,Ansari Nagar,New Delhi,-7868308840,arjun.gupta92@hospitalmail.in,English,"Telugu, Hindi, Bengali"
EMP1093,Dr. Neha Rao,General Medicine,Fortis Hospital,Bannerghatta Road,"Bengaluru, Karnataka",-6583022427,neha.rao93@hospitalmail.in,Hindi,"Marathi, Malayalam"
EMP1094,Dr. Pooja Mehta,Psychiatry,Tata Memorial Hospital,Parel,"Mumbai, Maharashtra",-9380730569,pooja.mehta94@hospitalmail.in,Bengali,"English, Marathi, Tamil"
EMP1095,Dr. Amit Reddy,Cardiology,Aster Medcity,Cheranalloor,"Kochi, Kerala",-6032439898,amit.reddy95@hospitalmail.in,Hindi,"Bengali, Marathi, Hindi, Telugu"
EMP1096,Dr. Vikram Chatterjee,Neurology,CMC Vellore,Katpadi Road,"Vellore, Tamil Nadu",-9712008233,vikram.chatterjee96@hospitalmail.in,Tamil,"Bengali, Hindi, Marathi"
EMP1097,Dr. Suresh Chatterjee,Pediatrics,Apollo Hospitals,Jubilee Hills,"Hyderabad, Telangana",-9694127932,suresh.chatterjee97@hospitalmail.in,Kannada,"Malayalam, English"
EMP1098,Dr. Kavita Naik,General Medicine,Apollo Hospitals,Jubilee Hills,"Hyderabad, Telangana",-9268318731,kavita.naik98@hospitalmail.in,Bengali,"Malayalam, Telugu, Hindi"
EMP1099,Dr. Arjun Patel,Dermatology,Apollo Hospitals,Jubilee Hills,"Hyderabad, Telangana",-8886896942,arjun.patel99@hospitalmail.in,Kannada,"Hindi, English, Kannada"
